Mileage,Price,Make,Type,Cyl,Liter,Doors,Cruise,Sound,Leather
583,70755,Cadillac,Convertible,8,4.6,2,1,1,1
788,48310,Cadillac,Sedan,8,4.6,4,1,0,1
2202,51154,Cadillac,Sedan,8,5.7,4,1,1,1
2616,49366,Cadillac,Sedan,8,4.6,4,1,1,1
5499,42820,Cadillac,Sedan,8,4.6,4,1,0,1
6420,68566,Cadillac,Convertible,8,4.6,2,1,1,1
6447,38716,Cadillac,Sedan,8,4.6,4,1,0,1
6685,49248,Cadillac,Sedan,8,5.7,4,1,0,1
7892,69134,Cadillac,Convertible,8,4.6,2,1,1,1
8125,41378,Cadillac,Sedan,8,4.6,4,1,0,1
10555,35652,Cadillac,Sedan,8,4.6,4,1,1,1
11975,35129,Cadillac,Sedan,8,4.6,4,1,1,1
12021,66374,Cadillac,Convertible,8,4.6,2,1,1,1
12791,40856,Cadillac,Sedan,8,4.6,4,1,1,1
13449,35166,Cadillac,Sedan,8,4.6,4,1,1,1
13829,45062,Cadillac,Sedan,8,4.6,4,1,1,1
14095,39802,Cadillac,Sedan,8,4.6,4,1,0,1
14452,41419,Cadillac,Sedan,8,4.6,4,1,0,1
14743,40336,Cadillac,Sedan,8,4.6,4,1,0,1
15104,44206,Cadillac,Sedan,8,4.6,4,1,0,1
15343,46748,Cadillac,Sedan,8,5.7,4,1,1,1
15600,65281,Cadillac,Convertible,8,4.6,2,1,1,1
16041,39307,Cadillac,Sedan,8,4.6,4,1,0,1
17138,38600,Cadillac,Sedan,8,4.6,4,1,0,1
17508,32501,Cadillac,Sedan,8,4.6,4,1,0,1
18200,63913,Cadillac,Convertible,8,4.6,2,1,1,1
18581,42378,Cadillac,Sedan,8,4.6,4,1,0,1
18661,33220,Cadillac,Sedan,8,4.6,4,1,0,1
18661,38446,Cadillac,Sedan,8,4.6,4,1,0,1
20575,41672,Cadillac,Sedan,8,4.6,4,1,0,1
20910,32509,Cadillac,Sedan,8,4.6,4,1,0,1
21341,44131,Cadillac,Sedan,8,5.7,4,1,0,1
21367,44085,Cadillac,Sedan,8,5.7,4,1,1,1
21593,37510,Cadillac,Sedan,8,4.6,4,1,0,1
21966,36078,Cadillac,Sedan,8,4.6,4,1,0,1
22211,37215,Cadillac,Sedan,8,4.6,4,1,0,1
23124,31132,Cadillac,Sedan,8,4.6,4,1,1,1
23193,60568,Cadillac,Convertible,8,4.6,2,1,1,1
23371,43892,Cadillac,Sedan,8,5.7,4,1,0,1
23751,44301,Cadillac,Sedan,8,5.7,4,1,0,1
23861,41516,Cadillac,Sedan,8,4.6,4,1,1,1
24052,42678,Cadillac,Sedan,8,5.7,4,1,0,1
24415,35867,Cadillac,Sedan,8,4.6,4,1,1,1
25153,36333,Cadillac,Sedan,8,4.6,4,1,0,1
25163,35339,Cadillac,Sedan,8,4.6,4,1,0,1
25199,43374,Cadillac,Sedan,8,5.7,4,1,1,1
25339,36154,Cadillac,Sedan,8,4.6,4,1,1,1
25421,34686,Cadillac,Sedan,8,4.6,4,1,0,1
25717,41053,Cadillac,Sedan,8,4.6,4,1,1,1
26222,31182,Cadillac,Sedan,8,4.6,4,1,0,1
26250,36245,Cadillac,Sedan,8,4.6,4,1,1,1
27544,31059,Cadillac,Sedan,8,4.6,4,1,1,1
29260,52011,Cadillac,Convertible,8,4.6,2,1,1,1
30082,40619,Cadillac,Sedan,8,5.7,4,1,1,1
31303,38209,Cadillac,Sedan,8,4.6,4,1,1,1
31587,39072,Cadillac,Sedan,8,4.6,4,1,0,1
31805,52639,Cadillac,Convertible,8,4.6,2,1,0,1
36074,31954,Cadillac,Sedan,8,4.6,4,1,0,1
41829,30537,Cadillac,Sedan,8,4.6,4,1,1,1
42691,45002,Cadillac,Convertible,8,4.6,2,1,1,1
2973,14928,Pontiac,Wagon,4,1.8,4,0,0,0
3946,14179,Pontiac,Sedan,4,2.2,4,1,1,1
4188,15380,Pontiac,Sedan,4,2.2,4,1,1,1
4318,13327,Pontiac,Sedan,4,2.2,4,0,1,1
4463,14418,Pontiac,Wagon,4,1.8,4,1,0,1
5350,15846,Pontiac,Sedan,4,2.2,4,0,1,1
5788,15604,Pontiac,Sedan,4,2.2,4,1,1,1
8754,15379,Pontiac,Wagon,4,1.8,4,0,1,0
9150,16707,Pontiac,Wagon,4,1.8,4,0,0,0
9185,28423,Pontiac,Coupe,8,5.7,2,1,1,1
10915,30220,Pontiac,Coupe,8,5.7,2,1,1,1
11892,25452,Pontiac,Sedan,8,4.6,4,1,0,1
12303,17803,Pontiac,Wagon,4,1.8,4,1,1,1
12420,14842,Pontiac,Sedan,4,2.2,4,0,1,1
12610,17214,Pontiac,Wagon,4,1.8,4,1,1,1
13145,13160,Pontiac,Coupe,4,2.2,2,0,1,1
13262,15077,Pontiac,Sedan,4,2.2,4,0,1,1
13678,31025,Pontiac,Coupe,8,5.7,2,1,1,1
14304,15822,Pontiac,Wagon,4,1.8,4,0,0,1
16078,16353,Pontiac,Wagon,4,1.8,4,0,1,0
16193,29596,Pontiac,Coupe,8,5.7,2,1,0,1
17053,15978,Pontiac,Wagon,4,1.8,4,0,0,1
17273,23449,Pontiac,Sedan,8,4.6,4,1,0,1
17830,12830,Pontiac,Coupe,4,2.2,2,1,1,1
18096,16392,Pontiac,Wagon,4,1.8,4,1,1,0
18206,15569,Pontiac,Wagon,4,1.8,4,0,0,0
18391,16034,Pontiac,Wagon,4,1.8,4,0,1,1
19081,12828,Pontiac,Coupe,4,2.2,2,1,1,1
19148,23578,Pontiac,Sedan,8,4.6,4,1,0,1
19225,12878,Pontiac,Coupe,4,2.2,2,1,1,1
19465,16107,Pontiac,Wagon,4,1.8,4,1,0,0
19521,22525,Pontiac,Sedan,8,4.6,4,1,1,1
19531,16551,Pontiac,Wagon,4,1.8,4,1,1,1
19602,13961,Pontiac,Sedan,4,2.2,4,0,1,1
19894,17325,Pontiac,Wagon,4,1.8,4,1,0,0
20472,21983,Pontiac,Sedan,8,4.6,4,1,1,1
20618,12832,Pontiac,Coupe,4,2.2,2,1,1,1
21307,15590,Pontiac,Wagon,4,1.8,4,0,0,0
21391,15730,Pontiac,Wagon,4,1.8,4,0,1,1
21418,29665,Pontiac,Coupe,8,5.7,2,1,0,1
21461,15803,Pontiac,Wagon,4,1.8,4,0,0,0
21688,14399,Pontiac,Wagon,4,1.8,4,0,0,0
21891,12464,Pontiac,Coupe,4,2.2,2,1,1,1
21929,22232,Pontiac,Sedan,8,4.6,4,1,1,1
22779,16079,Pontiac,Wagon,4,1.8,4,0,0,1
23062,15298,Pontiac,Wagon,4,1.8,4,0,0,0
23217,15622,Pontiac,Wagon,4,1.8,4,1,1,1
23323,14909,Pontiac,Wagon,4,1.8,4,0,1,1
23886,27426,Pontiac,Coupe,8,5.7,2,1,0,1
23931,12466,Pontiac,Coupe,4,2.2,2,0,1,1
23976,13034,Pontiac,Sedan,4,2.2,4,0,1,1
24239,15505,Pontiac,Wagon,4,1.8,4,1,0,0
24270,14853,Pontiac,Wagon,4,1.8,4,0,0,0
24318,12259,Pontiac,Coupe,4,2.2,2,1,1,1
24542,13163,Pontiac,Sedan,4,2.2,4,0,1,1
24960,27371,Pontiac,Coupe,8,5.7,2,1,1,1
25285,11903,Pontiac,Coupe,4,2.2,2,0,1,1
25651,22189,Pontiac,Sedan,8,4.6,4,1,0,1
25794,21765,Pontiac,Sedan,8,4.6,4,1,0,1
26097,12210,Pontiac,Coupe,4,2.2,2,0,1,1
26126,28549,Pontiac,Coupe,8,5.7,2,1,1,1
27168,21404,Pontiac,Sedan,8,4.6,4,1,0,1
27199,28502,Pontiac,Coupe,8,5.7,2,1,1,1
27438,16087,Pontiac,Wagon,4,1.8,4,0,0,1
27887,16174,Pontiac,Wagon,4,1.8,4,0,0,0
31197,22201,Pontiac,Sedan,8,4.6,4,1,1,1
31424,17396,Pontiac,Wagon,4,1.8,4,0,0,0
31791,17069,Pontiac,Wagon,4,1.8,4,1,1,1
33374,16547,Pontiac,Wagon,4,1.8,4,0,1,1
36480,28527,Pontiac,Coupe,8,5.7,2,1,1,1
1676,35033,SAAB,Sedan,4,2.3,4,1,1,1
3828,37089,SAAB,Convertible,4,2,2,1,1,1
3867,32197,SAAB,Sedan,4,2,4,1,1,0
3907,29246,SAAB,Sedan,4,2,4,1,0,1
4836,27281,SAAB,Wagon,4,2.5,4,1,1,0
5144,32053,SAAB,Sedan,4,2,4,1,1,0
6409,33006,SAAB,Wagon,4,2.3,4,1,1,1
7924,32746,SAAB,Sedan,4,2.3,4,1,0,1
8017,30801,SAAB,Sedan,4,2.3,4,1,0,1
9795,33183,SAAB,Sedan,4,2.3,4,1,1,1
10003,26841,SAAB,Sedan,4,2,4,1,1,0
10014,27826,SAAB,Sedan,4,2,4,1,0,1
10340,35622,SAAB,Convertible,4,2,2,1,1,0
10800,30275,SAAB,Sedan,4,2,4,1,1,0
11273,30354,SAAB,Sedan,4,2,4,1,1,0
